1,Wireless Mouse,Ergonomic wireless mouse with long battery life,29.99,Electronics,150,2024-02-04 12:00:00,2024-02-04 12:00:00
2,Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches,79.99,Electronics,100,2024-02-04 12:00:00,2024-02-04 12:00:00
3,Running Shoes,Breathable and lightweight running shoes for men,49.99,Sportswear,75,2024-02-04 12:00:00,2024-02-04 12:00:00
4,Smartphone,6.5-inch display with 128GB storage and dual camera,599.99,Electronics,50,2024-02-04 12:00:00,2024-02-04 12:00:00
5,Coffee Maker,Automatic coffee maker with programmable timer,89.99,Home Appliances,80,2024-02-04 12:00:00,2024-02-04 12:00:00
6,Gaming Chair,Ergonomic gaming chair with lumbar support,199.99,Furniture,40,2024-02-04 12:00:00,2024-02-04 12:00:00
7,Yoga Mat,Non-slip yoga mat for home workouts,19.99,Fitness,120,2024-02-04 12:00:00,2024-02-04 12:00:00
8,LED Monitor,27-inch full HD LED monitor with blue light filter,179.99,Electronics,60,2024-02-04 12:00:00,2024-02-04 12:00:00
9,Electric Kettle,1.7L electric kettle with auto shut-off,34.99,Home Appliances,90,2024-02-04 12:00:00,2024-02-04 12:00:00
10,Backpack,Water-resistant travel backpack with multiple compartments,45.99,Accessories,200,2024-02-04 12:00:00,2024-02-04 12:00:00
11,Smartwatch,Fitness tracking smartwatch with heart rate monitor,129.99,Electronics,85,2024-02-04 12:00:00,2024-02-04 12:00:00
12,Desk Lamp,LED desk lamp with adjustable brightness and USB charging,24.99,Furniture,110,2024-02-04 12:00:00,2024-02-04 12:00:00
13,Wireless Earbuds,Noise-canceling wireless earbuds with charging case,59.99,Electronics,95,2024-02-04 12:00:00,2024-02-04 12:00:00
14,Office Chair,Adjustable ergonomic office chair with armrests,159.99,Furniture,30,2024-02-04 12:00:00,2024-02-04 12:00:00
15,Blender,High-speed blender for smoothies and shakes,49.99,Home Appliances,70,2024-02-04 12:00:00,2024-02-04 12:00:00
16,Sunglasses,UV-protected polarized sunglasses,19.99,Accessories,140,2024-02-04 12:00:00,2024-02-04 12:00:00
17,Treadmill,Electric treadmill with incline adjustment,699.99,Fitness,20,2024-02-04 12:00:00,2024-02-04 12:00:00
18,Camera,DSLR camera with 24MP sensor and 18-55mm lens,499.99,Electronics,25,2024-02-04 12:00:00,2024-02-04 12:00:00
19,Power Bank,20000mAh power bank with fast charging,39.99,Electronics,130,2024-02-04 12:00:00,2024-02-04 12:00:00
20,Table Fan,Portable table fan with three-speed settings,29.99,Home Appliances,60,2024-02-04 12:00:00,2024-02-04 12:00:00
